Name,Team,Pos,Games,G,GPG,A,APG,Pts,ptsPG,PLMI,PLMIPG,PIM,PIMPG,SOG,SOGPG,GWG,PPG,PPGPG,PPA,PPAPG,PPP,PPPPG,SHG,SHGPG,SHA,SHAPG,Hits,HitsPG,BS,BSPG
Brendan Perlini,CHI,LW,68,14,0.205882353,7,0.102941176,21,0.308823529,-17,-0.25,28,0.411764706,117,1.720588235,0,2,0.029411765,2,0.029411765,4,0.058823529,0,0,0,0,51,0.75,22,0.323529412
Austin Wagner,LA,LW,62,12,0.193548387,9,0.14516129,21,0.338709677,2,0.032258065,16,0.258064516,67,1.080645161,0,0,0,0,0,0,0,0,0,0,0,142,2.290322581,9,0.14516129
Troy Brouwer,FLA,RW,75,12,0.16,9,0.12,21,0.28,-6,-0.08,47,0.626666667,86,1.146666667,1,0,0,0,0,0,0,1,0.013333333,0,0,177,2.36,38,0.506666667
Kyle Clifford,LA,LW,72,11,0.152777778,10,0.138888889,21,0.291666667,4,0.055555556,96,1.333333333,115,1.597222222,2,1,0.013888889,0,0,1,0.013888889,0,0,0,0,115,1.597222222,24,0.333333333
Jordan Weal,MON,C,63,8,0.126984127,13,0.206349206,21,0.333333333,-8,-0.126984127,18,0.285714286,75,1.19047619,1,2,0.031746032,4,0.063492063,6,0.095238095,0,0,0,0,28,0.444444444,26,0.412698413
Sean Kuraly,BOS,C,71,8,0.112676056,13,0.183098592,21,0.295774648,6,0.084507042,38,0.535211268,134,1.887323944,3,0,0,0,0,0,0,0,0,0,0,129,1.816901408,35,0.492957746
Adam Pelech,NYI,D,78,5,0.064102564,16,0.205128205,21,0.269230769,22,0.282051282,24,0.307692308,110,1.41025641,0,0,0,0,0,0,0,0,0,0,0,149,1.91025641,116,1.487179487
Markus Nutivaara,CLS,D,80,5,0.0625,16,0.2,21,0.2625,3,0.0375,6,0.075,99,1.2375,1,0,0,0,0,0,0,0,0,0,0,80,1,61,0.7625
Ondrej Kase,ANH,RW,30,11,0.366666667,9,0.3,20,0.666666667,0,0,2,0.066666667,94,3.133333333,2,1,0.033333333,3,0.1,4,0.133333333,0,0,0,0,17,0.566666667,11,0.366666667
Oscar Lindberg,FA,C,55,9,0.163636364,11,0.2,20,0.363636364,4,0.072727273,28,0.509090909,91,1.654545455,0,0,0,1,0.018181818,1,0.018181818,0,0,0,0,104,1.890909091,27,0.490909091
Ryan Reaves,VGK,RW,80,9,0.1125,11,0.1375,20,0.25,1,0.0125,74,0.925,95,1.1875,2,3,0.0375,0,0,3,0.0375,0,0,0,0,305,3.8125,24,0.3
Jesper Fast,NYR,RW,66,8,0.121212121,12,0.181818182,20,0.303030303,-3,-0.045454545,26,0.393939394,80,1.212121212,1,0,0,0,0,0,0,0,0,0,0,120,1.818181818,47,0.712121212
Zachary Sanford,STL,LW,60,8,0.133333333,12,0.2,20,0.333333333,8,0.133333333,21,0.35,77,1.283333333,2,0,0,1,0.016666667,1,0.016666667,0,0,0,0,48,0.8,37,0.616666667
Adam Erne,DET,LW,65,7,0.107692308,13,0.2,20,0.307692308,10,0.153846154,40,0.615384615,70,1.076923077,3,2,0.030769231,0,0,2,0.030769231,0,0,0,0,159,2.446153846,26,0.4
